Part ,Quantity,Notes / Details,Link
10k Ohm Resistor,36,For summing circuit,https://www.amazon.com/dp/B07QJB31M7?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
68 Ohm Resistor,16,For wiring up LEDs,https://www.amazon.com/dp/B0CFPZQ9ZQ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Switch,16,SPDT Mini Toggle Switch 3-Pin 2 Position ON/ON,https://www.amazon.com/dp/B0799HC3VY?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
LED,17,5mm,https://www.amazon.com/dp/B0CZ3XK1RH?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
10K Ohm Potentiometer & knob,17,,https://www.amazon.com/dp/B0D6WB7SZJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Wires,~50',22-26 Gauge,https://www.amazon.com/dp/B07TX6BX47?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
AA Battery ,2,,
Battery Holder,1,2 AA Battery holder with leads,amazon.com/Pack-Battery-Holder-Bundle-QTEATAK/dp/B07WY3VMNN/ref=sr_1_3?crid=85S2VWAU9V22&dib=eyJ2IjoiMSJ9.icctj0yhBTstb0UdaBdnxqdNhhzJ7_R3SIDhdV5xPBWf7__0fvLLF5nGVXd6VowChUQeAZyGGIYYu_i9lWa0ma61Iw3BLhYqWHcLkm-iE4PYP3y9N8BwTRLmpFaSY0TFbSoNvMUfBbMkgIPnM2_OypLCC9leLOZNIlnlGuS-axPpyEiuxEU1KB8HMyqUHB_o3KUGV55eyyqXZUm0_eLVZsouyut4FIAZqv-SyH3d1AQ.88fbQR3XcY8IFPfmKcOriamE8pAsJel7CYQg6FtuCFw&dib_tag=se&keywords=AA+battery+connector&qid=1758304187&sprefix=aa+battery+connecto%2Caps%2C137&sr=8-3
Microamp Current Meter,1,Used on Ebay - a little tricky ,
Solderable Breadboard 1,1,"2.75""x2"" - for LED panel",https://www.amazon.com/dp/B072Z7Y19F?ref=ppx_yo2ov_dt_b_fed_asin_title
Solderable Breadboard 2,1,"2.05""x3.5"" - for summing circuit",https://www.amazon.com/dp/B09WZXHMDG?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Sheet Metal 1,1,"4x4"" - plate for switches",https://www.amazon.com/dp/B09KGF6ZFG?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Sheet Metal 2,1,"6x6"" - plate for knobs",https://www.amazon.com/dp/B09KGF6ZFG?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Wood Backing Board,1,"8.5""x19""",https://www.lowes.com/pd/1-4-in-Birch-Plywood-Application-as-2-x-4/1000066175
"Carraige Bolts - 3"" & Nuts",8,,https://www.lowes.com/pd/Hillman-1-2-in-x-3-in-Galvanized-Coarse-Thread-Exterior-Carriage-Bolt-1-Count/3824737
Standoffs,8,To hold up solder boards,https://www.amazon.com/dp/B0BYSHZ2TD?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
,,,
,,,
,,,